Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Cluster,Ticker_Code,Volatility
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,SPY,SPY,SPY,SPY,SPY,^VIX,^VIX,^VIX,^VIX,^VIX,,,
2020-08-03,-1.7164492732618002,-1.6842429219165616,-1.7041403925193679,-1.7360067561793338,5.99223878842415,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-04,-1.6969513911474832,-1.7068601734541418,-1.6907825883860177,-1.7109586270587196,2.483816630040121,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-05,-1.6862973056017807,-1.717467685651919,-1.677018909059308,-1.7043770764787898,1.151536900681453,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-06,-1.5833782916789543,-1.6101883175560694,-1.6527309974815392,-1.676776979115643,3.246311122088599,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-07,-1.6527858998586415,-1.6243997386680105,-1.6340057341506886,-1.5960810548391235,3.1324662779772097,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-10,-1.6094227818832834,-1.621726291197267,-1.6419136755560724,-1.6123617869603317,3.505386580895473,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-11,-1.6994381166292711,-1.6562807252645766,-1.666042743569667,-1.6293149892996763,2.8690169663348826,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-12,-1.6018379322091576,-1.6350939763799095,-1.6338709762603696,-1.6689408688024194,2.2897048334187295,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-13,-1.548137044886746,-1.5611054852920827,-1.5357318851923742,-1.5631160641655302,3.4450876691211985,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-14,-1.5508893327696633,-1.5889765249206302,-1.5595907967609255,-1.5523520578249135,2.288852919089734,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-17,-1.558944444808358,-1.5599025459729132,-1.5347856134616868,-1.5191852472687015,1.0940015158768468,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
2020-08-18,-1.5333021942441218,-1.562241649928572,-1.5335688521754223,-1.5652014427673973,0.7322496020277329,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
